country,iso3,year,indicator_abbr,dimension,subgroup,order,estimate,population,data_source
IND,IND,2017,smokeless,sex,SEX_MLE,1,29.6,,GHO
CZE,CZE,2021,smokeless,sex,SEX_MLE,1,5.3,,GHO
IDN,IDN,2021,smokeless,sex,SEX_FMLE,1,1.1,,GHO
BHS,BHS,2019,smokeless,sex,SEX_MLE,1,0.1,,GHO
SLB,SLB,2015,smokeless,sex,SEX_MLE,1,4.0,,GHO
MDV,MDV,2021,smokeless,sex,SEX_MLE,1,3.4,,GHO
KWT,KWT,2014,smokeless,sex,SEX_MLE,1,0.5,,GHO
OMN,OMN,2017,smokeless,sex,SEX_MLE,1,1.7,,GHO
AFG,AFG,2019,smokeless,sex,SEX_FMLE,1,3.7,,GHO
NPL,NPL,2019,smokeless,sex,SEX_FMLE,1,4.9,,GHO
CZE,CZE,2021,smokeless,sex,SEX_BTSX,1,3.3,,GHO
UKR,UKR,2017,smokeless,sex,SEX_FMLE,1,0.0,,GHO
HTI,HTI,2017,smokeless,sex,SEX_FMLE,1,3.1,,GHO
AZE,AZE,2011,smokeless,sex,SEX_MLE,1,0.2,,GHO
LCA,LCA,2019,smokeless,sex,SEX_FMLE,1,0.4,,GHO
BDI,BDI,2017,smokeless,sex,SEX_FMLE,1,2.7,,GHO
KIR,KIR,2016,smokeless,sex,SEX_FMLE,1,1.4,,GHO
URY,URY,2017,smokeless,sex,SEX_BTSX,1,0.1,,GHO
LBR,LBR,2011,smokeless,sex,SEX_FMLE,1,3.1,,GHO
LSO,LSO,2014,smokeless,sex,SEX_FMLE,1,7.5,,GHO
MMR,MMR,2016,smokeless,sex,SEX_MLE,1,58.9,,GHO
GEO,GEO,2019,smokeless,sex,SEX_BTSX,1,0.0,,GHO
VEN,VEN,2011,smokeless,sex,SEX_MLE,1,6.2,,GHO
WSM,WSM,2013,smokeless,sex,SEX_MLE,1,1.3,,GHO
PAK,PAK,2018,smokeless,sex,SEX_FMLE,1,3.4,,GHO
KEN,KEN,2015,smokeless,sex,SEX_FMLE,1,3.3,,GHO
TJK,TJK,2017,smokeless,sex,SEX_MLE,1,19.7,,GHO
MDV,MDV,2021,smokeless,sex,SEX_FMLE,1,4.2,,GHO
ARM,ARM,2016,smokeless,sex,SEX_FMLE,1,0.0,,GHO
BRN,BRN,2016,smokeless,sex,SEX_MLE,1,1.7,,GHO
BGD,BGD,2018,smokeless,sex,SEX_MLE,1,26.9,,GHO
LKA,LKA,2020,smokeless,sex,SEX_FMLE,1,4.9,,GHO
BFA,BFA,2021,smokeless,sex,SEX_BTSX,1,4.8,,GHO
MLI,MLI,2018,smokeless,sex,SEX_FMLE,1,0.2,,GHO
SVN,SVN,2021,smokeless,sex,SEX_BTSX,1,1.3,,GHO
COM,COM,2011,smokeless,sex,SEX_BTSX,1,18.4,,GHO
AFG,AFG,2019,smokeless,sex,SEX_BTSX,1,19.3,,GHO
PHL,PHL,2021,smokeless,sex,SEX_MLE,1,2.3,,GHO
TGO,TGO,2011,smokeless,sex,SEX_BTSX,1,3.6,,GHO
NOR,NOR,2019,smokeless,sex,SEX_BTSX,1,18.0,,GHO
IDN,IDN,2021,smokeless,sex,SEX_BTSX,1,1.0,,GHO
